	Phrase	new_sent
134302	, this is one adapted - from-television movie that actually looks as if it belongs on the big screen .	1
49272	fails to give his audience a single character worth rooting for -LRB- or worth rooting against , for that matter -RRB-	0
51588	A dark comedy that goes for sick and demented humor simply to do so .	0
7399	there 's no indication that he 's been responsible for putting together any movies of particular value or merit	0
131842	is a such a brainless flibbertigibbet that it 's hard to take her spiritual quest at all seriously	0
23427	be the worst film a man has made about women since Valley of the Dolls	0
43467	this otherwise appealing picture loses its soul to Screenwriting For Dummies conformity .	0
18191	have been one of the more daring and surprising American movies of the year	1
132424	a mystery how the movie could be released in this condition	0
86666	forced to watch him try out so many complicated facial expressions	0
61333	also shows how deeply felt emotions can draw people together across the walls that might otherwise separate them .	1
81793	however , having sucked dry the undead action flick formula , Blade II mutates into a gross-out monster movie with effects that are more silly than scary .	0
26269	that Rob Schneider actually turns in a pretty convincing performance as a prissy teenage girl	1
99636	a splendid job of racial profiling Hollywood style -- casting excellent Latin actors of all ages -- a trend long overdue	1
68588	Insomnia is one of the year 's best films and Pacino gives one of his most daring , and complicated , performances .	1
64268	A sensitive , cultivated treatment of Greene 's work as well as a remarkably faithful one .	1
55609	A particularly joyless , and exceedingly dull , period coming-of-age tale .	0
92245	Two Weeks Notice has appeal beyond being a Sandra Bullock vehicle or a standard romantic comedy .	1
144570	Oversexed , at times overwrought comedy\/drama that offers little insight into the experience of being forty , female and single .	0
101109	be as tiresome as 9 seconds of Jesse Helms ' anti- Castro	0
131044	makes your least favorite James Bond movie seem as cleverly plotted as The Usual Suspects	0
32016	will still come away with a sense of his reserved but existential poignancy	1
14351	a picture that was n't all that great to begin with	0
139386	us too drunk on the party favors to sober us up with the transparent attempts at moralizing	0
62976	Hugh Grant , who has a good line in charm ,	1
16721	is talented enough and charismatic enough to make us care about Zelda 's ultimate fate .	1
103378	improvise and scream their way around this movie directionless , lacking any of the rollicking dark humor so necessary to make this kind of idea work on screen	0
106776	tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet	1
152363	's such a mechanical endeavor -LRB- that -RRB- it never bothers to question why somebody might devote time to see it	0
21598	its worst harangues are easy to swallow thanks to remarkable performances by Ferrera and Ontiveros	1
133898	's also a lot of redundancy and unsuccessful crudeness accompanying it	0
121355	only because Bullock and Grant were made to share the silver screen .	1
